"AUTEUR	DATUM	PARTIJ	CONTENT";;;;
"Ank Bijleveld	08-04-2020 21:35:31	CDA	Ank Bijleveld (@MinBijleveld): RT @Defensie: Defensie ondersteunt civiele autoriteiten in de strijd tegen COVID-19 (het coronavirus). Op deze pagina krijgt u een indruk van wat Defensie doet: https://t.co/afXMWpvIb5 #Coronavirusnl #CoronaCrisis https://t.co/FPOfoIYRNX";;;;
"Alexander van Hattem	08-04-2020 21:30:33	PVV	Alexander van Hattem (@AWJAvanHattem): RT @geertwilderspvv: Motie Wilders cs om zorgmedewerkers nu eindelijk en heel snel van voldoende beschermingsmiddelen zoals oa mondkapjes te voorzien, is net met algemene stemmen aangenomen in de Tweede Kamer. #coronadebat #corona #coronavirus #Wilders #PVV #coronavirusNederland https://t.co/uWRR36X76s";;;;
"Laura Bromet 🦔	08-04-2020 21:30:19	onbekend	Laura Bromet 🦔 (@LauraBromet): LTO twijfelde nooit aan het RIVM en dubt of en hoe ze door moeten met het Landbouwcollectief: https://t.co/xpoX4NY95g";;;;
"Martin van Rooijen	08-04-2020 21:29:02	50Plus	Martin van Rooijen (@MvRooijen): Bizar dat van Dissel dit naar buiten moet brengen. Ik mag toch aannemen dat @MinPres @hugodejonge dit wisten. @verenso had eerder naar buiten gebracht dat er 300 doden waren in helft verpleeghuizen. In persconferentie is er niets over gezegd! Ook niet stil gestaan bij 2100 doden. https://t.co/L7nkm4b2mV";;;;
"Peter Kwint	08-04-2020 21:27:02	SP	Peter Kwint (@peterkwint): Voordeel van de trein. Football Manager spelen. https://t.co/zk6orNfDL7";;;;
"Jan Paternotte	08-04-2020 21:26:57	D66	Jan Paternotte (@jpaternotte): Chag Pesach Sameach! https://t.co/bFomqgLCkQ";;;;
"Thierry Baudet	08-04-2020 21:22:01	FvD	Thierry Baudet (@thierrybaudet): RT @EssenHarm: Ongelofelijk. De drie moties van @thierrybaudet om de BTW te verlagen, het NOW aan te vullen met een extra keuzemogelijkheid, en het MKB te steunen dmv Duits model zijn alle drie verworpen. Wat ontzettend jammer. #coronadebat #FVD https://t.co/eZH50ymiWL https://t.co/e55sSsFJxl";;;;
"Pieter Omtzigt	08-04-2020 21:19:11	CDA	Pieter Omtzigt (@PieterOmtzigt): Juist in een crisissituatie is het werk van de Kamer belangrijk. Democratie stopt juist nu niet. En zeker niet in tijden waarin de regering ingrijpende maatregelen neemt, is een debat daarover en informatie noodzakelijk. Wel met aanpassingen: https://t.co/Fn6beSaV4W";;;;
"Martin van Rooijen	08-04-2020 21:16:52	50Plus	Martin van Rooijen (@MvRooijen): RT @parool: Tenzij het Belgisch Arbitragehof voor de Sport (BAS) anders beslist, zakken de clubs af naar de eerste amateurklasse. https://t.co/PUoc7mzh4T";;;;
"Edgar Mulder	08-04-2020 21:12:19	PVV	Edgar Mulder (@edgarmulder1): RT @sophietjeA: Licht getintiërs... Ic-verpleegkundige in gezicht gespuugd: Onbeschoft en smerig https://t.co/WNFxwXXUrZ via @telegraaf";;;;
"Edgar Mulder	08-04-2020 21:10:17	PVV	Edgar Mulder (@edgarmulder1): RT @geertwilderspvv: Motie Wilders cs om zorgmedewerkers nu eindelijk en heel snel van voldoende beschermingsmiddelen zoals oa mondkapjes te voorzien, is net met algemene stemmen aangenomen in de Tweede Kamer. #coronadebat #corona #coronavirus #Wilders #PVV #coronavirusNederland https://t.co/uWRR36X76s";;;;
"Edgar Mulder	08-04-2020 21:09:51	PVV	Edgar Mulder (@edgarmulder1): RT @geertwilderspvv: PVV-moties ingediend om problemen rondom tekort aan beschermingsmiddelen op te lossen, voor iedereen Corona-testen beschikbaar te stellen en betrouwbare sterftecijfers naar boven te krijgen. #coronadebat #corona #coronavirusNederland #Wilders #PVV https://t.co/AxM1rpRcFF";;;;
"Peter Kwint	08-04-2020 21:07:59	SP	Peter Kwint (@peterkwint): RT @Sunita_Biharie: Super schandalig dit! Eerder stelde wij lokaal samen met de partij Lokaal al vragen. Ook landelijk hebben @peterkwint en @MaartenHijink vragen gesteld. Dit kan en mag niet zomaar gebeuren. #DeHoenderlooGroep https://t.co/oM3z6iJ3jx";;;;
"Thierry Baudet	08-04-2020 21:07:16	FvD	Thierry Baudet (@thierrybaudet): RT @fvdemocratie: Dit is waarom Nederland NOOIT met Eurobonds mag instemmen. #FVD https://t.co/OJ1OMa5qav";;;;
"Sharon Dijksma	08-04-2020 21:05:19	PvdA	Sharon Dijksma (@sharon_dijksma): RT @AT5: Zorgen om de horeca in De Balie Live: 'Dit zijn de maanden dat je het moet verdienen' https://t.co/quMlBkwaZP https://t.co/4wmi7OsGfc";;;;
"Léon de Jong	08-04-2020 21:04:19	PVV	Léon de Jong (@leondejong): RT @geertwilderspvv: Motie Wilders cs om zorgmedewerkers nu eindelijk en heel snel van voldoende beschermingsmiddelen zoals oa mondkapjes te voorzien, is net met algemene stemmen aangenomen in de Tweede Kamer. #coronadebat #corona #coronavirus #Wilders #PVV #coronavirusNederland https://t.co/uWRR36X76s";;;;
"Thierry Baudet	08-04-2020 21:01:47	FvD	Thierry Baudet (@thierrybaudet): Nu gaande! Hoe de managers de macht grijpen https://t.co/UmxcG7jw0C via @YouTube";;;;
"Eppo Bruins	08-04-2020 21:01:24	ChristenUnie	Eppo Bruins (@eppobruins): Eurobonds gaan Italië niet helpen. Ze komen te laat voor de acute crisis en het maakt de rentelasten voor Italië juist hoger. Heldere analyse https://t.co/GccLVX8siW";;;;
"Thierry Baudet	08-04-2020 21:01:03	FvD	Thierry Baudet (@thierrybaudet): Dit moet het kabinet tijdens de lockdown doen - en dit is hoe we er weer uit komen (zo snel mogelijk)!https://t.co/uFBGpyB9zC via @YouTube #FVD";;;;
"Gert-Jan Segers	08-04-2020 21:00:51	ChristenUnie	Gert-Jan Segers (@gertjansegers): Deze crisis vraagt heel veel van mensen in de zorg, van patiënten, hun familieleden, gezinnen waar de stress aan het toeslaan is, van ons allemaal. We moeten ons nu al voorbereiden op de mentale en geestelijke zorg die straks nodig is. Daarom deze motie https://t.co/faLk7T21zM";;;;
"Thierry Baudet	08-04-2020 20:56:58	FvD	Thierry Baudet (@thierrybaudet): RT @ChrisvandenBos: @thierrybaudet complimenteert Hoekstra die, waarschijnlijk agv de machtstrijd binnen het CDA, nu zijn rug recht houdt inzake de Euro Bonds. Rutte en de Jonge lachen daarop smalend. Maar oh, wat schiet Baudet hier raak. Dezelfde reden waarom de Jonge nu zo close is met Rutte.";;;;
"Thierry Baudet	08-04-2020 20:56:38	FvD	Thierry Baudet (@thierrybaudet): RT @EssenHarm: Drie goede moties van @thierrybaudet om de economie te steunen(heel belangrijk). En het mag zowel 'ambtgenoot' als 'ambtsgenoot' zijn, weten we dat ook weer #coronadebat https://t.co/r2bZYpHxr9";;;;
"Thierry Baudet	08-04-2020 20:55:24	FvD	Thierry Baudet (@thierrybaudet): RT @ChrisvandenBos: Voor al mijn VVD vrinden, dit is een ""visie"" van @thierrybaudet . Mogelijk even wennen, maar wel iets waar Nederland zo'n behoefte aan heeft. https://t.co/VKetfU9r6x";;;;
"Alexander Kops • PVV	08-04-2020 20:54:58	onbekend	Alexander Kops • PVV (@KopsPVV): RT @geertwilderspvv: Motie Wilders cs om zorgmedewerkers nu eindelijk en heel snel van voldoende beschermingsmiddelen zoals oa mondkapjes te voorzien, is net met algemene stemmen aangenomen in de Tweede Kamer. #coronadebat #corona #coronavirus #Wilders #PVV #coronavirusNederland https://t.co/uWRR36X76s";;;;
"Geert Wilders	08-04-2020 20:54:16	PVV	Geert Wilders (@geertwilderspvv): Motie Wilders cs om zorgmedewerkers nu eindelijk en heel snel van voldoende beschermingsmiddelen zoals oa mondkapjes te voorzien, is net met algemene stemmen aangenomen in de Tweede Kamer. #coronadebat #corona #coronavirus #Wilders #PVV #coronavirusNederland https://t.co/uWRR36X76s";;;;
"Maarten Groothuizen	08-04-2020 20:45:47	D66	Maarten Groothuizen (@GroothuizenD66): RT @GerritvdBurg: Van te hard rijden tot winkeldiefstal. Van moord tot fraude. Bouw jij met ons mee aan een veilige en rechtvaardige samenleving? Pak de regie, word officier van justitie! Het OM werft tot 4 mei voor 24 Officieren van Justitie in Opleiding. Meer weten? https://t.co/zreCSN65Vp https://t.co/OM4C8PZzo5";;;;
"Joost Sneller	08-04-2020 20:45:03	D66	Joost Sneller (@Sneller): Thanks for reposting, @mehdirhasan. https://t.co/7Lou1IMM8i";;;;
"Alexander Kops • PVV	08-04-2020 20:43:27	onbekend	Alexander Kops • PVV (@KopsPVV): RT @geertwilderspvv: Woensdagavond: stemmen in de Tweede Kamer samen met ⁦@FleurAgemaPVV⁩! https://t.co/8qO2IiOv9y";;;;
"Geert Wilders	08-04-2020 20:41:19	PVV	Geert Wilders (@geertwilderspvv): Woensdagavond: stemmen in de Tweede Kamer samen met ⁦@FleurAgemaPVV⁩! https://t.co/8qO2IiOv9y";;;;
"Alexander van Hattem	08-04-2020 20:38:09	PVV	Alexander van Hattem (@AWJAvanHattem): RT @SamvanRooy1: In #Belgistan creëert een totaal incompetente 'regering' de 'perfecte storm', namelijk: #coronacrisis gecombineerd met #asielcrisis.  https://t.co/sXe1zdhSPP";;;;
"Rob Jetten	08-04-2020 20:36:58	D66	Rob Jetten (@RobJetten): Vele mensen vieren vanaf vanavond Pesach. Helaas is het niet altijd mogelijk om dit nu samen met familie en vrienden te doen in deze zware tijd. Desondanks wens ik iedereen een fijne Pesach - פסח שמח! https://t.co/1n6OhbZUTt";;;;
"Alexander van Hattem	08-04-2020 20:36:13	PVV	Alexander van Hattem (@AWJAvanHattem): RT @lilianhelderpvv: Niet alleen onbeschoft en smerig, maar ook: 1. respectloos 2. geweld, dus strafbaar 3. the usual suspects in groepsverband en dat mag niet ook niet Wat voor straf zou daar bij passen? Roept u maar!  https://t.co/NrpDAfTBQB";;;;
"Peter Kwint	08-04-2020 20:36:08	SP	Peter Kwint (@peterkwint): RT @jacobinmag: Bernie Sanders took socialism out of the margins and into the American mainstream for the first time in generations. His contributions to the struggle for a better world cannot be overstated. https://t.co/Zq6krxaFK3";;;;
"René Dercksen	08-04-2020 20:29:53	PVV	René Dercksen (@ReneDercksen): Zou er dan niemand bij @rtl4 zijn die zegt: maar we hadden de afgelopen 300 uitzendingen al 299 D66-ers? https://t.co/XYTkhN8dkq";;;;
"Liesbeth v Tongeren	08-04-2020 20:29:10	GroenLinks	Liesbeth v Tongeren (@GroenLiesbeth): RT @DuckDuckGo: Protect your privacy online today to ensure a safer tomorrow for everyone. Our Founder & CEO, Gabriel Weinberg, recommends these simple steps that everyone can do. #SpreadPrivacy";;;;
"René Dercksen	08-04-2020 20:26:16	PVV	René Dercksen (@ReneDercksen): De man @LodewijkA en de partij @PvdA die 800 (ACHTHONDERD) VERZORGINGSTEHUIZEN sloot. De schaamte volledig voorbij. https://t.co/H1W5MCxwut";;;;
"Chris Stoffer	08-04-2020 20:23:56	SGP	Chris Stoffer (@chris_stoffer): RT @JoanvanBurg1: #SGP ⁦@chris_stoffer⁩ : ‘Regel compensatie voor Zeeuwse recreatieondernemers en boeren met seizoensarbeid https://t.co/C6oRFK3oD1";;;;
"Lilian Helder	08-04-2020 20:23:00	PVV	Lilian Helder (@lilianhelderpvv): Niet alleen onbeschoft en smerig, maar ook: 1. respectloos 2. geweld, dus strafbaar 3. the usual suspects in groepsverband en dat mag niet ook niet Wat voor straf zou daar bij passen? Roept u maar!  https://t.co/NrpDAfTBQB";;;;
"René Dercksen	08-04-2020 20:22:05	PVV	René Dercksen (@ReneDercksen): Doen! https://t.co/LCVv8UjO3F";;;;
"Alexander Kops • PVV	08-04-2020 20:21:51	onbekend	Alexander Kops • PVV (@KopsPVV): RT @geertwilderspvv: Het is onvoorstelbaar dat minister De Jonge niet weet wanneer hij de helden in de zorg eindelijk kan voorzien van beschermingsmiddelen. #corona #coronadebat #coronavirusNederland #Wilders #PVV https://t.co/lhtQ6ywag1";;;;
"Alexander Kops • PVV	08-04-2020 20:21:38	onbekend	Alexander Kops • PVV (@KopsPVV): RT @geertwilderspvv: PVV-moties ingediend om problemen rondom tekort aan beschermingsmiddelen op te lossen, voor iedereen Corona-testen beschikbaar te stellen en betrouwbare sterftecijfers naar boven te krijgen. #coronadebat #corona #coronavirusNederland #Wilders #PVV https://t.co/AxM1rpRcFF";;;;
"Stef Blok	08-04-2020 20:10:35	VVD	Stef Blok (@ministerBlok): The Syrian regime violated the Chemical Weapons Convention, the @OPCW Investigation and Identification Team concludes in their report. Those responsible for the use of chemical weapons must be held accountable. https://t.co/CnNKWSQJlh";;;;
"Lodewijk Asscher	08-04-2020 20:06:25	PvdA	Lodewijk Asscher (@LodewijkA): Voorstel fonds voor zorgwerkers die schade ondervinden van werk in #coronacrisis. Minister @hugodejonge gaat erop studeren en inhoudelijke reactie geven. Daarna pas in stemming https://t.co/19ImggIqnw";;;;
"Sadet Karabulut	08-04-2020 20:00:32	SP	Sadet Karabulut (@SadetKarabulut): RT @democracynow: Noam Chomsky on Bernie Sanders: ""It's common to say now that the Sanders campaign failed. I think that's a mistake. I think it was an extraordinary success, completely shifted the arena of debate and discussion."" https://t.co/XFO3n51dHr";;;;
"Pieter Omtzigt	08-04-2020 20:00:32	CDA	Pieter Omtzigt (@PieterOmtzigt): RT @PieterOmtzigt: monitors express concern at the possibility of an election for Polish President under full COVID-19 lockdown conditions https://t.co/tGBdb914DY";;;;
"Mona Keijzer	08-04-2020 19:51:46	CDA	Mona Keijzer (@MonaKeijzer): Vanmiddag bezocht ik @htfigi #Corona raakt ook dit bedrijf hard.  Directeur @VictoriaRuys: ""Mijn omzet is met 94% gedaald, verschrikkelijk om te zien. Het is moeilijk, maar we blijven hopen op een goede uitkomst"" Dank voor de inspirerende rondleiding  #samensterk https://t.co/LiEDfyMVxc";;;;
"Lodewijk Asscher	08-04-2020 19:49:29	PvdA	Lodewijk Asscher (@LodewijkA): RT @PvdA: Als we straks weer grote bedrijven moeten redden, hebben we dan geleerd van de bankencrisis? Tijdens het #coronadebat doet @LodewijkA een beroep op @minpres om de belangrijkste lessen ter harte te nemen  https://t.co/YDS1ZjxFda";;;;
"Fleur Agema	08-04-2020 19:48:43	PVV	Fleur Agema (@FleurAgemaPVV): RT @geertwilderspvv: PVV-moties ingediend om problemen rondom tekort aan beschermingsmiddelen op te lossen, voor iedereen Corona-testen beschikbaar te stellen en betrouwbare sterftecijfers naar boven te krijgen. #coronadebat #corona #coronavirusNederland #Wilders #PVV https://t.co/AxM1rpRcFF";;;;
"Ministerie van Justitie en Veiligheid	08-04-2020 19:47:43	onbekend	Ministerie van Justitie en Veiligheid (@ministerieJenV): RT @ferdgrapperhaus: Ook in deze crisistijd stappen agenten als eersten naar voren. Om te helpen. Om op te treden waar dat nodig is. En om ervoor te zorgen dat de 1,5-meter-samenleving ook echt werkt. Ook hier in Nijmegen. Samen moeten we nu volhouden. Zo beschermen we wie kwetsbaar is. #AlleenSamen https://t.co/eeIYNZjjf9";;;;
"Laura Bromet 🦔	08-04-2020 19:47:37	onbekend	Laura Bromet 🦔 (@LauraBromet): Vogels in @dit_is_M . Ik hoorde vanmorgen voor het eerst in mijn leven......een roerdomp!!!!!!!";;;;
"Ferd Grapperhaus	08-04-2020 19:45:57	CDA	Ferd Grapperhaus (@ferdgrapperhaus): Ook in deze crisistijd stappen agenten als eersten naar voren. Om te helpen. Om op te treden waar dat nodig is. En om ervoor te zorgen dat de 1,5-meter-samenleving ook echt werkt. Ook hier in Nijmegen. Samen moeten we nu volhouden. Zo beschermen we wie kwetsbaar is. #AlleenSamen https://t.co/eeIYNZjjf9";;;;
"Thierry Baudet	08-04-2020 19:44:46	FvD	Thierry Baudet (@thierrybaudet): Dan ook eind april de samenleving weer gecontroleerd open! #FVD https://t.co/p9IavsF5eV";;;;
"René Dercksen	08-04-2020 19:41:51	PVV	René Dercksen (@ReneDercksen): RT @FirenzeJudy: Dit plaatje met staatsschulden moet toch wel aangeven hoe enorm destructief Eurobonds voor Nederland zal zijn. En wat een geschenk voor Spanje en Italië. Nooit doen. https://t.co/B3X7rZprms";;;;
"Martijn van Helvert🇳🇱🇪🇺	08-04-2020 19:41:22	onbekend	Martijn van Helvert🇳🇱🇪🇺 (@Martijncda): RT @MinBZ: ️ De eerste @KLM repatriëringsvlucht vanuit Zuid-Afrika is vertrokken! Goede reis allemaal en tot snel in Nederland. https://t.co/kQDDJ4Fo5v";;;;
"René Dercksen	08-04-2020 19:40:39	PVV	René Dercksen (@ReneDercksen): And by the way, I forgot. https://t.co/CwvFWiCnME";;;;
"Ton van Kesteren	08-04-2020 19:40:37	PVV	Ton van Kesteren (@PVVKesteren): https://t.co/Cb0zLdfwEa";;;;
"Martin van Rooijen	08-04-2020 19:39:25	50Plus	Martin van Rooijen (@MvRooijen): .⁦@ActiZbrancheorg⁩: dit is schokkend” Het is beschamend in een rijk beschaafd land. Totale verwaarlozing in prioriteit: het zijn ouderen. Des te meer waardering heb ik voor zorgverleners in verpleeghuizen. Belgie: personeel naar woon-zorg centra. https://t.co/BoRjhN6i2Y";;;;
"René Dercksen	08-04-2020 19:38:58	PVV	René Dercksen (@ReneDercksen): Ik neem aan dat hij een baarvader bedoelt en geen baarmoeder. https://t.co/PUzrNxwlhQ";;;;
"Ton van Kesteren	08-04-2020 19:38:49	PVV	Ton van Kesteren (@PVVKesteren): De fin. onzekerheid is de meest genoemde reden om voorlopig niet gasloos te gaan of af te zien van plannen voor dubbele ramen en muur- of vloerisolatie. Bijna tweederde wil de opgebouwde reserves voorlopig achter de hand houden”. Dat zouden gem. en prov.bestuur ook moeten doen. https://t.co/55eZbeC2ra";;;;
"Alexander van Hattem	08-04-2020 19:35:50	PVV	Alexander van Hattem (@AWJAvanHattem): RT @geertwilderspvv: Het is onvoorstelbaar dat minister De Jonge niet weet wanneer hij de helden in de zorg eindelijk kan voorzien van beschermingsmiddelen. #corona #coronadebat #coronavirusNederland #Wilders #PVV https://t.co/lhtQ6ywag1";;;;
"Ton van Kesteren	08-04-2020 19:35:22	PVV	Ton van Kesteren (@PVVKesteren): Het plan voor een nieuwe wijk op die plek is al 20 jr geleden bedacht, maar de economische crisis en onenigheid met de Twentse marktpartners stonden de realisatie in de weg”. Laten we hopen op betaalbare woningen want er wordt een econ. recessie verwacht. https://t.co/z8ngRx844R";;;;
"René Dercksen	08-04-2020 19:33:36	PVV	René Dercksen (@ReneDercksen): Communist wil ons geld. Italiaanse minister Gualtieri tegenpool van Hoekstra https://t.co/fiKsAgNjrd via @telegraaf";;;;
"Martin van Rooijen	08-04-2020 19:28:10	50Plus	Martin van Rooijen (@MvRooijen): . ⁦@50pluspartij⁩ blijft samen met de vakbonden en werkgevers ons prachtige pensioenstelsel verdedigen. Tijdelijke Crisis mag niet misbruikt worden. ⁦@FNV⁩ ⁦@vakbond⁩ ⁦@VCProfessionals⁩ ⁦@VNONCW⁩. #pensioenakoord https://t.co/zEd6j65W5H";;;;
"Esther Ouwehand	08-04-2020 19:26:23	PvdD	Esther Ouwehand (@estherouwehand): RT @JaapJansen: .@estherouwehand dient hierover zojuist motie in https://t.co/k6FTpZrFfA";;;;
"Lilian Marijnissen	08-04-2020 19:24:34	SP	Lilian Marijnissen (@MarijnissenL): Kies voor een sociale en rechtvaardige weg uit deze crisis. Deze tijd, en ook die hierna, vraagt om solidariteit. https://t.co/sjTTmxV7uc";;;;
"Martin van Rooijen	08-04-2020 19:21:24	50Plus	Martin van Rooijen (@MvRooijen): RT @Schuldensuehner: The biggest experiment in monetary history: Central Banks buying govt bonds like crazy to monetize the public debts. Will not work indefinitely. No one can say exactly where the tipping point is. If the balance sheet exceeds a certain level, inflation expectations will skyrocket. https://t.co/bqbT97Dcwu";;;;
"Léon de Jong	08-04-2020 19:18:28	PVV	Léon de Jong (@leondejong): RT @geertwilderspvv: PVV-moties ingediend om problemen rondom tekort aan beschermingsmiddelen op te lossen, voor iedereen Corona-testen beschikbaar te stellen en betrouwbare sterftecijfers naar boven te krijgen. #coronadebat #corona #coronavirusNederland #Wilders #PVV https://t.co/AxM1rpRcFF";;;;
"Geert Wilders	08-04-2020 19:17:46	PVV	Geert Wilders (@geertwilderspvv): PVV-moties ingediend om problemen rondom tekort aan beschermingsmiddelen op te lossen, voor iedereen Corona-testen beschikbaar te stellen en betrouwbare sterftecijfers naar boven te krijgen. #coronadebat #corona #coronavirusNederland #Wilders #PVV https://t.co/AxM1rpRcFF";;;;
"Gert-Jan Segers	08-04-2020 19:16:26	ChristenUnie	Gert-Jan Segers (@gertjansegers): Tijdens het debat heeft @christenunie, samen met andere partijen, gevraagd om kwekers, tuinders en bollenboeren te hulp te komen. Het kabinet zegt vandaag toe de sierteelt niet in de steek te laten. Mooi dat er een noodfonds in de maak is. https://t.co/LI9eyDsAgj";;;;
"Martin van Rooijen	08-04-2020 19:16:00	50Plus	Martin van Rooijen (@MvRooijen): RT @PGKroeger: Hier het meest recente nationale beeld in Duitsland. https://t.co/wmfrhURKQo";;;;
"Ministerie van Economische Zaken en Klimaat	08-04-2020 19:13:26	onbekend	Ministerie van Economische Zaken en Klimaat (@MinisterieEZK): RT @op1npo: Vanavond bij #Op1: staatssecretaris van @MinisterieEZK @MonaKeijzer trekt maar liefst 25 miljard extra uit om noodlijdende ondernemers te ondersteunen tijdens de #coronacrisis. Het kabinet komt daarbij een grotere groep ondernemers tegemoet. Meer info: https://t.co/bHNy9t1A4F https://t.co/den51aQ9yo";;;;
"Jan Paternotte	08-04-2020 19:09:04	D66	Jan Paternotte (@jpaternotte): RT @fcvheest: De harde knip tussen bachelor en master wordt dit jaar terzijde geschoven. Komt geen eenduidige oplossing er wordt maatwerk geleverd. Zo kan er een deadline zijn voor het afronden voor de bachelor wanneer je aan je master bent begonnen. https://t.co/bCBqRUeGA9";;;;
"Renske Leijten	08-04-2020 19:08:11	SP	Renske Leijten (@RenskeLeijten): RT @lorelei3112: Het hele kabinet heeft tegengestemd, waardoor #zorgverleners èn hun #patiënten gebruikt worden als kanonnenvoer. Bedankt!! #PBM ⬇️ https://t.co/4t9ckPepxE https://t.co/eH8zASBlFF https://t.co/XTCHLdXJMN";;;;
"Frank Wassenberg	08-04-2020 19:01:57	PvdD	Frank Wassenberg (@WassenbergFrank): RT @LammertvanRaan: Zeker nu waarschijnlijk snel staatsteun voor KLM los gaat komen: Voorkom 'business as usual' na het virus | SchipholWatch” #krimpluchtvaart https://t.co/z9Kz7aWhz1";;;;
"Pieter Omtzigt	08-04-2020 19:01:36	CDA	Pieter Omtzigt (@PieterOmtzigt): monitors express concern at the possibility of an election for Polish President under full COVID-19 lockdown conditions https://t.co/tGBdb914DY";;;;
"Maarten Groothuizen	08-04-2020 19:00:35	D66	Maarten Groothuizen (@GroothuizenD66): RT @RaadvanState: Onderschrijft noodzaak van maatregelen in ‘Spoedwet Covid-19 Justitie en Veiligheid , maar heeft ook opmerkingen. Zo moeten alle maatregelen tijdelijk karakter hebben, en moet duidelijk zijn hoe recht kan worden gedaan aan openbaarheid rechtspraak. https://t.co/2ytbTQIChF";;;;
"Martijn van Helvert🇳🇱🇪🇺	08-04-2020 19:00:14	onbekend	Martijn van Helvert🇳🇱🇪🇺 (@Martijncda): RT @erikmouthaanRTL: BREKEND - Bernie Sanders stapt uit race om Witte Huis";;;;
"Lammert van Raan	08-04-2020 19:00:04	PvdD	Lammert van Raan (@LammertvanRaan): Zeker nu waarschijnlijk snel staatsteun voor KLM los gaat komen: Voorkom 'business as usual' na het virus | SchipholWatch” #krimpluchtvaart https://t.co/z9Kz7aWhz1";;;;
"Salima Belhaj	08-04-2020 18:59:58	D66	Salima Belhaj (@SalimaBelhaj): Een stille economische ramp is gaande in de culturele sector.Heb veel mensen gesproken en hun problemen worden gehoord. Vandaag in debat of kabinet nog meer wil oplossen voor de #culturelesector antwoordde Rutte”Zolang D66 in de coalitie zit zeker @Kunsten92 @MusiciPlatform https://t.co/PGpZMizAXR";;;;
"Martijn van Helvert🇳🇱🇪🇺	08-04-2020 18:58:41	onbekend	Martijn van Helvert🇳🇱🇪🇺 (@Martijncda): RT @cdavandaag: In deze Stille Week voor Pasen waar kerken en straten dit jaar heel letterlijk stil zijn, schuilt veel eenzaamheid en verdriet. Zeker bij onze kwetsbare ouderen in verpleeghuizen. Zij worden in deze tijd dubbel geraakt. #coronadebat https://t.co/hSNbnmSy2n";;;;
"Martin van Rooijen	08-04-2020 18:53:13	50Plus	Martin van Rooijen (@MvRooijen): Geweldige spirit https://t.co/pySIEjgy95";;;;
"Jan Paternotte	08-04-2020 18:52:44	D66	Jan Paternotte (@jpaternotte): RT @RobJetten: Nederland is een rijk kunstland. Maar met lege agenda s en afgelaste festivals dreigen veel podiumkunstenaars door het ijs te zakken. Zij vallen buiten de boot van de overheidssteun. Gaat het kabinet nu ook kijken hoe we hen kunnen steunen? #waitforit #coronadebat https://t.co/6u9IuEXy2k";;;;
"Laura Bromet 🦔	08-04-2020 18:49:57	onbekend	Laura Bromet 🦔 (@LauraBromet): Ik kies huis 3. Lijkt me enig. https://t.co/y9Gi1Bjrii";;;;
"Martin van Rooijen	08-04-2020 18:46:26	50Plus	Martin van Rooijen (@MvRooijen): Franse pensioenleeftijd 62 jaar https://t.co/95fg5QJ847";;;;
"Laura Bromet 🦔	08-04-2020 18:45:22	onbekend	Laura Bromet 🦔 (@LauraBromet): Goedkoop voedsel is niet vanzelfsprekend https://t.co/xa2EjkmVBs";;;;
"Ton van Kesteren	08-04-2020 18:39:25	PVV	Ton van Kesteren (@PVVKesteren): RT @Martinbosma_pvv: GroenLinks sloopte het referendum, maar geeft wél graag belastinggeld aan vage democratiseringsprojecten.” Het geld gaat in de Bijlmer op aan bling-bling. https://t.co/UNqcf4N31B";;;;
"Ton van Kesteren	08-04-2020 18:38:03	PVV	Ton van Kesteren (@PVVKesteren): RT @geertwilderspvv: Massaal testen en mensen die corona hebben isoleren. Andere landen boeken daar geweldige resultaten mee. Gebruik van corona-app kan alleen onder zeer strenge voorwaarden! Privacy, anonimiteit en transparantie moet gewaarborgd zijn! #coronadebat #Coronavirusnl #corona #Wilders https://t.co/JmpRBU13wK";;;;
"Ton van Kesteren	08-04-2020 18:37:55	PVV	Ton van Kesteren (@PVVKesteren): RT @geertwilderspvv: Het is onvoorstelbaar dat minister De Jonge niet weet wanneer hij de helden in de zorg eindelijk kan voorzien van beschermingsmiddelen. #corona #coronadebat #coronavirusNederland #Wilders #PVV https://t.co/lhtQ6ywag1";;;;
"Ton van Kesteren	08-04-2020 18:37:55	PVV	Ton van Kesteren (@PVVKesteren): RT @geertwilderspvv: Minister-president, we moeten het zorgpersoneel beter waarderen. Daar meer op inzetten en in investeren. Niet alleen dit jaar maar ook de komende jaren! #coronadebat #corona #coronavirusNederland #COVID19 #Wilders #PVV https://t.co/VWgv18j0rs";;;;
"Martin van Rooijen	08-04-2020 18:37:31	50Plus	Martin van Rooijen (@MvRooijen): RT @KatholiekInside: (De protestantse) minister-president Mark Rutte stak een kaarsje op in de rooms-katholieke St. Jacobuskerk, op loopafstand van het Torentje. Hij ontmoette er zeven vertegenwoordigers van christelijke kerken in Den Haag. https://t.co/i8RHnQaEpr";;;;
"Ton van Kesteren	08-04-2020 18:37:28	PVV	Ton van Kesteren (@PVVKesteren): RT @geertwilderspvv: Door een tekort aan beschermingsmiddelen lopen verzorgers iedere minuut gevaar! We kunnen niet nog weken wachten. Dit moet NU worden opgelost! #coronadebat #coronavirusNederland #coronavirus #corona #PVV #Wilders https://t.co/07Jq6jPcaD";;;;
